ITEMTYPE,ITEMID,COLOR,CODENAME
P,75c23,Dark Bluish Gray,6400774
P,75c23,Flat Silver,6024376
P,75c23,Pearl Dark Gray,4552549
P,75c23,Red,4294849
P,75c23,Yellow,4119542
P,75c24,Black,4143262
P,75c24,Black,4581556
P,75c24,Pearl Dark Gray,4544002
P,75c24,Pearl Dark Gray,4626776
P,75c24,Reddish Brown,6505229
P,75c24,White,6178597
P,75c24,White,6434175
P,75c24,Yellow,6382574
P,75c25,Black,6541885
P,75c26,Black,4271120
P,75c26,Dark Blue,4535277
P,75c26,Dark Red,6256145
P,75c26,Pearl Dark Gray,6257979
P,75c26,Pearl Gold,6322139
P,75c26,Red,6227560
P,75c26,Reddish Brown,6143437
P,75c27,Light Bluish Gray,6320144
P,75c28,Reddish Brown,6040310
P,75c28,Yellow,4119022
P,75c29,Black,4541953
P,75c29,Flat Silver,6335213
P,75c29,Light Bluish Gray,6562119
P,75c29,Pearl Dark Gray,4180229
P,75c30,Black,4124078
P,75c30,Blue,4116937
P,75c30,Blue,4125448
P,75c30,Blue,4190670
P,75c30,Dark Gray,4159229
P,75c30,Reddish Brown,6505233
P,75c31,Blue,4116938
P,75c31,Red,4293853
P,75c32,Black,4299844
P,75c32,Black,6103367
P,75c32,Black,6510336
P,75c32,Light Bluish Gray,6277337
P,75c32,Pearl Dark Gray,4520197
P,75c32,Pearl Gold,6322138
P,75c32,Yellow,6476982
P,75c33,Black,4164460
P,75c33,Black,4188658
P,75c33,Black,4299366
P,75c33,Black,6378784
P,75c33,Light Bluish Gray,6038527
P,75c34,Blue,4154204
P,75c34,Bright Green,6591230
P,75c34,Dark Blue,6227567
P,75c34,Light Bluish Gray,6562118
P,75c36,Black,6121382
P,75c37,Dark Turquoise,4116939
P,75c38,Light Bluish Gray,6227559
P,75c38,Red,4514774
P,75c38,White,6486374
P,75c38,Yellow,6392640
P,75c40,Yellow,4195389
P,75c43,Dark Red,6586570
P,75c43,Flat Silver,6314440
P,75c43,Light Bluish Gray,6440416
P,75c45,Yellow,4118603
P,75c47,Reddish Brown,6505231
P,75c47,White,6364683
P,75c49,Black,4543996
P,75c53,Yellow,4124371
P,75c66,Blue,4514915
P,75c66,Red,4519732
P,78c02,Black,4113299
P,78c02,Black,4296147
P,78c02,Black,6253278
P,78c02,Blue,4124328
P,78c02,Flat Silver,4620070
P,78c02,Flat Silver,6525133
P,78c02,Medium Blue,4154922
P,78c02,Pearl Gold,4288218
P,78c02,Pearl Gold,4289507
P,78c02,Pearl Light Gray,4142060
P,78c02,Pearl Light Gray,4275384
P,78c02,Pearl Light Gray,4495192
P,78c02,Purple,4120474
P,78c02,Red,4128607
P,78c02,Red,4268657
P,78c02,White,4226247
P,78c02,White,4275399
P,78c02,Yellow,4141262
P,78c03,Black,4119439
P,78c03,Black,6357746
P,78c03,Blue,4128605
P,78c03,Flat Silver,6116017
P,78c03,Flat Silver,6420614
P,78c03,Green,4128606
P,78c03,Light Gray,4125204
P,78c03,Pearl Light Gray,4141670
P,78c03,Pearl Light Gray,4275333
P,78c03,Pearl Light Gray,4495199
P,78c03,Red,4154854
P,78c03,Red,4275394
P,78c03,Trans-Light Blue,4252589
P,78c03,White,4143788
P,78c03,Yellow,4128604
P,78c04,Black,4112862
P,78c04,Black,4282813
P,78c04,Black,4506910
P,78c04,Blue,4124329
P,78c04,Brown,4165923
P,78c04,Dark Turquoise,4111954
P,78c04,Flat Silver,4620081
P,78c04,Light Gray,4125376
P,78c04,Pearl Gold,4144056
P,78c04,Pearl Light Gray,4143704
