inventory_id,part_num,color_id,quantity,is_spare,img_url
26,3001,15,1,False,https://cdn.rebrickable.com/media/parts/elements/300101.jpg
26,3003,15,2,False,https://cdn.rebrickable.com/media/parts/elements/300301.jpg
26,3003,14,2,False,https://cdn.rebrickable.com/media/parts/elements/300324.jpg
26,3003,2,1,False,https://cdn.rebrickable.com/media/parts/elements/300328.jpg
26,3004,0,3,False,https://cdn.rebrickable.com/media/parts/elements/300426.jpg
26,3006,14,1,False,https://cdn.rebrickable.com/media/parts/elements/300624.jpg
26,3007,7,6,False,https://cdn.rebrickable.com/media/parts/ldraw/7/3007.png
26,3008,15,3,False,https://cdn.rebrickable.com/media/parts/elements/300801.jpg
26,30086c01,14,1,False,https://cdn.rebrickable.com/media/parts/elements/4106548.jpg
26,30089a,0,1,False,https://cdn.rebrickable.com/media/parts/ldraw/0/30089a.png
26,3008pr0037,14,2,False,https://cdn.rebrickable.com/media/parts/photos/14/3008pb034-14-57200d7b-c53e-4083-8fb5-7e9e41a793d7.jpg
26,3010,0,1,False,https://cdn.rebrickable.com/media/parts/elements/301026.jpg
26,30151a,47,1,False,https://cdn.rebrickable.com/media/parts/elements/4113949.jpg
26,30162,0,1,False,https://cdn.rebrickable.com/media/parts/elements/4109970.jpg
26,30179,15,1,False,https://cdn.rebrickable.com/media/parts/elements/4116877.jpg
26,30180,15,3,False,https://cdn.rebrickable.com/media/parts/elements/4110051.jpg
26,30181,1,2,False,https://cdn.rebrickable.com/media/parts/elements/4113827.jpg
26,30183,0,1,False,https://cdn.rebrickable.com/media/parts/elements/4118888.jpg
26,30185c02pr0001,1,1,False,https://cdn.rebrickable.com/media/parts/photos/1/30185c02pb01-1-e2e80d6b-6cdb-4e0c-99de-d06a3378e47b.jpg
26,30187a,14,1,False,https://cdn.rebrickable.com/media/parts/ldraw/14/30187c04.png
26,30189,14,1,False,https://cdn.rebrickable.com/media/parts/ldraw/14/30189.png
26,30190,15,1,False,https://cdn.rebrickable.com/media/parts/ldraw/15/30190.png
26,30191,7,1,False,https://cdn.rebrickable.com/media/parts/elements/4113848.jpg
26,3020,14,1,False,https://cdn.rebrickable.com/media/parts/elements/302024.jpg
26,30235,0,1,False,https://cdn.rebrickable.com/media/parts/ldraw/0/30235.png
26,30237a,15,2,False,https://cdn.rebrickable.com/media/parts/ldraw/15/30237.png
26,30237a,1,2,False,https://cdn.rebrickable.com/media/parts/ldraw/1/30237.png
26,30237a,14,1,False,https://cdn.rebrickable.com/media/parts/ldraw/14/30237.png
26,30248,7,1,False,https://cdn.rebrickable.com/media/parts/elements/4116928.jpg
26,30249,15,4,False,https://cdn.rebrickable.com/media/parts/elements/4117031.jpg
26,30250pr0004,14,1,False,https://cdn.rebrickable.com/media/parts/photos/14/30250pr04-14-4a9af793-e93e-4e19-beb1-267faea32465.jpg
26,30251,33,1,False,https://cdn.rebrickable.com/media/parts/elements/4116743.jpg
26,30254,1,1,False,https://cdn.rebrickable.com/media/parts/photos/1/30254-1-b74a285c-9445-4ecb-b290-84b6e4883c01.jpg
26,30256,15,1,False,https://cdn.rebrickable.com/media/parts/elements/4117032.jpg
26,30257,15,2,False,https://cdn.rebrickable.com/media/parts/photos/15/30257-15-17887efb-53d2-4f04-a0e1-2709950cb659.jpg
26,30258pr0007,15,1,False,https://cdn.rebrickable.com/media/parts/photos/15/30258pb007-15-4a14498f-ee1a-4d19-993e-173db78674d2.jpg
26,30259pr0010,15,2,False,https://cdn.rebrickable.com/media/parts/photos/15/892pb11-15-bd070c01-041f-42c4-aba3-5b8d081b9286.jpg
26,30261pr0012,15,1,False,https://cdn.rebrickable.com/media/parts/photos/15/30261px6-15-d041dd28-66f0-4dd8-b021-f3d984defa3b.jpg
26,30322,1,3,False,https://cdn.rebrickable.com/media/parts/ldraw/1/30322.png
26,30338,6,1,False,https://cdn.rebrickable.com/media/parts/ldraw/6/30338.png
26,30339,2,1,False,https://cdn.rebrickable.com/media/parts/ldraw/2/30339.png
26,30340,25,5,False,https://cdn.rebrickable.com/media/parts/elements/4116785.jpg
26,30343c01,15,1,False,https://cdn.rebrickable.com/media/parts/ldraw/15/30343c01.png
26,3037,4,2,False,https://cdn.rebrickable.com/media/parts/elements/303721.jpg
26,3037pr0005,14,1,False,https://cdn.rebrickable.com/media/parts/ldraw/14/3037p05.png
26,3037pr0013,7,1,False,https://cdn.rebrickable.com/media/parts/photos/7/3037px11-7-430383ce-1f05-40e7-b055-9cb2ccb816bf.jpg
26,3037pr0018,14,1,False,https://cdn.rebrickable.com/media/parts/ldraw/14/3037pc0.png
26,3039,36,1,False,https://cdn.rebrickable.com/media/parts/elements/4118889.jpg
26,3039,34,1,False,https://cdn.rebrickable.com/media/parts/elements/4118890.jpg
26,3039pr0005,15,1,False,https://cdn.rebrickable.com/media/parts/elements/4261941.jpg
26,3040b,0,1,False,https://cdn.rebrickable.com/media/parts/elements/4121966.jpg
26,3040b,33,2,False,https://cdn.rebrickable.com/media/parts/elements/4109710.jpg
26,3068bpr0385,15,1,False,https://cdn.rebrickable.com/media/parts/photos/15/3068bpx143-15-ecbe4023-b006-4c0d-9d17-1abcf822f298.jpg
26,3069bpr0020,7,2,False,https://cdn.rebrickable.com/media/parts/ldraw/7/3069bp02.png
26,3069bpr0043,15,1,False,https://cdn.rebrickable.com/media/parts/ldraw/15/3069bp52.png
26,3127,7,1,False,https://cdn.rebrickable.com/media/parts/ldraw/7/3127a.png
26,32084,15,1,False,https://cdn.rebrickable.com/media/parts/elements/4118891.jpg
26,32086,33,1,False,https://cdn.rebrickable.com/media/parts/ldraw/33/32086.png
26,3460,1,2,False,https://cdn.rebrickable.com/media/parts/elements/346023.jpg
26,3460,0,2,False,https://cdn.rebrickable.com/media/parts/elements/346026.jpg
26,3626bpr0053,33,1,False,https://cdn.rebrickable.com/media/parts/photos/33/3626bpr0053-33-16eed13e-5286-44b8-91a9-a4ee641ef80f.jpg
26,3794a,0,3,False,https://cdn.rebrickable.com/media/parts/ldraw/0/3794a.png
26,3829c01,4,1,False,https://cdn.rebrickable.com/media/parts/elements/9552.jpg
26,3832,15,1,False,https://cdn.rebrickable.com/media/parts/elements/383201.jpg
26,3867,2,1,False,https://cdn.rebrickable.com/media/parts/elements/4217115.jpg
26,3962b,0,1,False,https://cdn.rebrickable.com/media/parts/elements/396226.jpg
26,4032a,2,1,False,https://cdn.rebrickable.com/media/parts/elements/403228.jpg
26,4079,4,1,False,https://cdn.rebrickable.com/media/parts/ldraw/4/4079.png
26,4083,4,1,False,https://cdn.rebrickable.com/media/parts/elements/408321.jpg
26,4151a,0,1,False,https://cdn.rebrickable.com/media/parts/ldraw/0/4151a.png
26,4162,0,1,False,https://cdn.rebrickable.com/media/parts/elements/416226.jpg
26,4175,0,4,False,https://cdn.rebrickable.com/media/parts/elements/4100530.jpg
26,4289,15,1,False,https://cdn.rebrickable.com/media/parts/elements/4253859.jpg
26,4485,1,1,False,https://cdn.rebrickable.com/media/parts/elements/448523.jpg
26,4488,7,1,False,https://cdn.rebrickable.com/media/parts/elements/448802.jpg
26,4495a,2,1,False,https://cdn.rebrickable.com/media/parts/ldraw/2/4495a.png
26,4495a,4,1,False,https://cdn.rebrickable.com/media/parts/ldraw/4/4495a.png
26,4532,1,1,False,https://cdn.rebrickable.com/media/parts/ldraw/1/4532.png
26,4533,15,1,False,https://cdn.rebrickable.com/media/parts/elements/4261470.jpg
26,4595,0,1,False,https://cdn.rebrickable.com/media/parts/elements/4190471.jpg
26,4599a,15,1,False,https://cdn.rebrickable.com/media/parts/ldraw/15/4599a.png
26,4623,7,7,False,https://cdn.rebrickable.com/media/parts/ldraw/7/4623.png
26,4714,15,1,False,https://cdn.rebrickable.com/media/parts/elements/471401.jpg
26,51595pr0003,2,1,False,https://cdn.rebrickable.com/media/parts/ldraw/2/51595p01.png
26,59275,1,2,False,https://cdn.rebrickable.com/media/parts/ldraw/1/59275a.png
26,6014a,15,6,False,https://cdn.rebrickable.com/media/parts/ldraw/15/6014a.png
26,6015,0,7,False,https://cdn.rebrickable.com/media/parts/elements/601526.jpg
26,6019,0,1,False,https://cdn.rebrickable.com/media/parts/elements/601926.jpg
26,6020,14,1,False,https://cdn.rebrickable.com/media/parts/elements/4106809.jpg
26,6091,7,1,False,https://cdn.rebrickable.com/media/parts/elements/609102.jpg
26,6140,4,2,False,https://cdn.rebrickable.com/media/parts/elements/4289557.jpg
26,6141,36,7,False,https://cdn.rebrickable.com/media/parts/elements/3005741.jpg
26,6141,34,2,False,https://cdn.rebrickable.com/media/parts/elements/3005748.jpg
26,6160c03,1,1,False,https://cdn.rebrickable.com/media/parts/ldraw/1/6160c03.png
26,6212,1,1,False,https://cdn.rebrickable.com/media/parts/elements/621223.jpg
26,6228a,7,1,False,https://cdn.rebrickable.com/media/parts/ldraw/7/6228b.png
26,71610pr0001,7,1,False,https://cdn.rebrickable.com/media/parts/photos/7/71610pb02-7-670ea4b9-ecc6-475b-b5f9-98089e61d2f4.jpg
26,76041c04,1,1,False,https://cdn.rebrickable.com/media/parts/ldraw/1/30178c05.png
27,3004,7,1,False,https://cdn.rebrickable.com/media/parts/elements/300402.jpg
27,30147,7,1,False,https://cdn.rebrickable.com/media/parts/ldraw/7/30147.png
27,3023,19,1,False,https://cdn.rebrickable.com/media/parts/elements/4113917.jpg
27,3044b,0,1,False,https://cdn.rebrickable.com/media/parts/ldraw/0/3044b.png
27,3641,0,4,False,https://cdn.rebrickable.com/media/parts/elements/364126.jpg
27,3795,8,1,False,https://cdn.rebrickable.com/media/parts/elements/379527.jpg
27,3829c01,7,1,False,https://cdn.rebrickable.com/media/parts/ldraw/7/3829c01.png
27,4600,0,2,False,https://cdn.rebrickable.com/media/parts/elements/460026.jpg
27,4624,7,4,False,https://cdn.rebrickable.com/media/parts/elements/462402.jpg
27,4865a,7,1,False,https://cdn.rebrickable.com/media/parts/elements/486502.jpg
28,2340,15,4,False,https://cdn.rebrickable.com/media/parts/elements/234001.jpg
28,2357,15,4,False,https://cdn.rebrickable.com/media/parts/elements/235701.jpg
28,2412b,15,3,False,https://cdn.rebrickable.com/media/parts/elements/241201.jpg
28,2412b,4,2,False,https://cdn.rebrickable.com/media/parts/elements/241221.jpg
28,2431,4,2,False,https://cdn.rebrickable.com/media/parts/elements/243121.jpg
28,2431,72,1,False,https://cdn.rebrickable.com/media/parts/elements/4211053.jpg
28,2432,1,1,False,https://cdn.rebrickable.com/media/parts/elements/243223.jpg
28,2437,40,2,False,https://cdn.rebrickable.com/media/parts/elements/4124083.jpg
28,2445,15,2,False,https://cdn.rebrickable.com/media/parts/elements/244501.jpg
28,2447,40,1,True,https://cdn.rebrickable.com/media/parts/elements/4163306.jpg
28,2460,72,1,False,https://cdn.rebrickable.com/media/parts/elements/4211129.jpg
28,2483,40,1,False,https://cdn.rebrickable.com/media/parts/elements/4288958.jpg
28,2555,0,1,False,https://cdn.rebrickable.com/media/parts/elements/255526.jpg
28,2569,72,2,False,https://cdn.rebrickable.com/media/parts/elements/6608939.jpg
28,2654,46,1,False,https://cdn.rebrickable.com/media/parts/elements/4214760.jpg
28,3002,1,4,False,https://cdn.rebrickable.com/media/parts/elements/300223.jpg
28,30031,0,1,False,https://cdn.rebrickable.com/media/parts/elements/3003126.jpg
28,3004,15,6,False,https://cdn.rebrickable.com/media/parts/elements/300401.jpg
28,3005,15,4,False,https://cdn.rebrickable.com/media/parts/elements/300501.jpg
28,30055,0,4,False,https://cdn.rebrickable.com/media/parts/elements/4185652.jpg
28,3009,15,2,False,https://cdn.rebrickable.com/media/parts/elements/300901.jpg
28,30162,72,3,False,https://cdn.rebrickable.com/media/parts/elements/4211051.jpg
28,3020,72,1,False,https://cdn.rebrickable.com/media/parts/elements/4211065.jpg
28,3023,72,2,False,https://cdn.rebrickable.com/media/parts/elements/4211063.jpg
28,30248,0,1,False,https://cdn.rebrickable.com/media/parts/elements/4116839.jpg
28,3032,15,1,False,https://cdn.rebrickable.com/media/parts/elements/303201.jpg
28,3034,15,1,False,https://cdn.rebrickable.com/media/parts/elements/303401.jpg
28,3034,0,2,False,https://cdn.rebrickable.com/media/parts/elements/303426.jpg
28,3035,15,1,False,https://cdn.rebrickable.com/media/parts/elements/303501.jpg
28,30359b,0,2,False,https://cdn.rebrickable.com/media/parts/elements/4164067.jpg
28,3036,15,1,False,https://cdn.rebrickable.com/media/parts/elements/303601.jpg
28,30361c,72,1,False,https://cdn.rebrickable.com/media/parts/elements/4161673.jpg
28,30363,15,3,False,https://cdn.rebrickable.com/media/parts/elements/4143000.jpg
28,3039pr0001,15,1,False,https://cdn.rebrickable.com/media/parts/elements/4195657.jpg
28,3039pr0002,15,1,False,https://cdn.rebrickable.com/media/parts/elements/4195659.jpg
28,3040b,15,2,False,https://cdn.rebrickable.com/media/parts/elements/304001.jpg
28,30592,72,1,False,https://cdn.rebrickable.com/media/parts/elements/4239373.jpg
28,3069b,33,2,False,https://cdn.rebrickable.com/media/parts/elements/4113854.jpg
28,3070b,36,1,True,https://cdn.rebrickable.com/media/parts/elements/3003941.jpg
28,3070b,34,1,True,https://cdn.rebrickable.com/media/parts/elements/3003948.jpg
28,3245b,15,4,False,https://cdn.rebrickable.com/media/parts/ldraw/15/3245b.png
28,3633,0,2,False,https://cdn.rebrickable.com/media/parts/elements/363326.jpg
28,3660,15,2,False,https://cdn.rebrickable.com/media/parts/elements/366001.jpg
28,3665,15,2,False,https://cdn.rebrickable.com/media/parts/elements/366501.jpg
28,3678b,15,2,False,https://cdn.rebrickable.com/media/parts/elements/4234525.jpg
28,3710,1,1,False,https://cdn.rebrickable.com/media/parts/elements/371023.jpg
28,3749,19,1,False,https://cdn.rebrickable.com/media/parts/elements/4186017.jpg
28,3794a,1,3,False,https://cdn.rebrickable.com/media/parts/ldraw/1/3794a.png
28,3795,14,2,False,https://cdn.rebrickable.com/media/parts/elements/379524.jpg
28,3829c01,1,1,False,https://cdn.rebrickable.com/media/parts/elements/9566.jpg
28,3900,15,1,False,https://cdn.rebrickable.com/media/parts/elements/390001.jpg
28,3937,71,1,False,https://cdn.rebrickable.com/media/parts/elements/4211469.jpg
28,3938,0,1,False,https://cdn.rebrickable.com/media/parts/elements/393826.jpg
28,3939,40,2,False,https://cdn.rebrickable.com/media/parts/elements/4173056.jpg
28,3941,15,1,False,https://cdn.rebrickable.com/media/parts/elements/614351.jpg
28,4079,1,2,False,https://cdn.rebrickable.com/media/parts/ldraw/1/4079.png
